"","estimate","pt","pr","covariate.set","n","m"
"38",6.27248916732458,0.1,0.5,"Minimal",150,1000
"39",6.48732858858211,0.1,0.25,"Extended",150,1000
"40",6.52221836464809,0.1,0.25,"Minimal",150,1000
"41",7.22577805485697,0.1,0.5,"Extended",150,1000
"42",7.6870888075191,0.1,0.5,"Minimal",150,1000
"43",6.30852039219097,0.1,0.25,"Extended",150,1000
"44",6.47345652990539,0.1,0.25,"Minimal",150,1000
"45",7.12149487148014,0.1,0.5,"Extended",150,1000
"46",6.15229953201895,0.1,0.5,"Minimal",150,1000
"47",6.73506514826316,0.1,0.25,"Extended",150,1000
"48",6.49381447549234,0.1,0.25,"Minimal",150,1000
"49",6.63395605404395,0.1,0.5,"Extended",150,1000
"50",6.28107167367559,0.1,0.5,"Minimal",150,1000
"51",6.17015369370166,0.1,0.25,"Extended",150,1000
"52",6.29770611416725,0.1,0.25,"Minimal",150,1000
"53",3.51555223073405,0.1,0.5,"Extended",150,1000
"54",5.7521748203419,0.1,0.5,"Minimal",150,1000
"55",6.32336993294574,0.1,0.25,"Extended",150,1000
"56",6.17551166526948,0.1,0.25,"Minimal",150,1000
"57",7.12843838399999,0.1,0.5,"Extended",150,1000
"58",6.75944016022632,0.1,0.5,"Minimal",150,1000
"59",6.98174815723179,0.1,0.25,"Extended",150,1000
"60",7.02829946356374,0.1,0.25,"Minimal",150,1000
"61",6.69406032202851,0.1,0.5,"Extended",150,1000
"62",6.42287740296623,0.1,0.5,"Minimal",150,1000
"63",5.35690878473059,0.1,0.25,"Extended",150,1000
"64",5.87516760851908,0.1,0.25,"Minimal",150,1000
"65",6.66198248582105,0.1,0.5,"Extended",150,1000
"66",6.50444334386326,0.1,0.5,"Minimal",150,1000
"67",7.52796121634993,0.1,0.25,"Extended",150,1000
"68",7.00379669408566,0.1,0.25,"Minimal",150,1000
"69",5.0820242947239,0.1,0.5,"Extended",150,1000
"70",5.38485156578554,0.1,0.5,"Minimal",150,1000
"71",6.35084180166794,0.1,0.25,"Extended",150,1000
"72",6.36754839959235,0.1,0.25,"Minimal",150,1000
"73",5.48437170780803,0.1,0.5,"Extended",150,1000
"74",6.06252180482102,0.1,0.5,"Minimal",150,1000
"75",6.75145339566735,0.1,0.25,"Extended",150,1000
"76",6.78408977589791,0.1,0.25,"Minimal",150,1000
"77",7.0709242490164,0.1,0.5,"Extended",150,1000
"78",6.77296071700613,0.1,0.5,"Minimal",150,1000
"79",5.43019664724203,0.1,0.25,"Extended",150,1000
"80",5.24738093091911,0.1,0.25,"Minimal",150,1000
"81",5.96161132383304,0.1,0.5,"Extended",150,1000
"82",5.64188264817138,0.1,0.5,"Minimal",150,1000
"83",5.93693347423188,0.1,0.25,"Extended",150,1000
"84",5.81875358625251,0.1,0.25,"Minimal",150,1000
"85",6.12885865773928,0.1,0.5,"Extended",150,1000
"86",6.55677812340811,0.1,0.5,"Minimal",150,1000
"87",5.79571244600618,0.1,0.25,"Extended",150,1000
"88",5.77730775556744,0.1,0.25,"Minimal",150,1000
"89",7.64008849453072,0.1,0.5,"Extended",150,1000
"90",6.84321933491067,0.1,0.5,"Minimal",150,1000
"91",5.0234881618493,0.1,0.25,"Extended",150,1000
"92",4.97792163299946,0.1,0.25,"Minimal",150,1000
"93",6.59296433347481,0.1,0.5,"Extended",150,1000
"94",6.2517436676863,0.1,0.5,"Minimal",150,1000
"95",7.36399482348008,0.1,0.25,"Extended",150,1000
"96",7.13794811471068,0.1,0.25,"Minimal",150,1000
"97",6.67600979899006,0.1,0.5,"Extended",150,1000
"98",6.39707685486357,0.1,0.5,"Minimal",150,1000
"99",5.17043158166537,0.1,0.25,"Extended",150,1000
"100",5.14655845022357,0.1,0.25,"Minimal",150,1000
"101",7.6795381300759,0.1,0.5,"Extended",150,1000
"102",7.02111163147857,0.1,0.5,"Minimal",150,1000
"103",8.31959633087905,0.1,0.25,"Extended",150,1000
"104",8.07186676192596,0.1,0.25,"Minimal",150,1000
"105",7.79986033456601,0.1,0.5,"Extended",150,1000
"106",8.57223423918935,0.1,0.5,"Minimal",150,1000
"107",6.50557059441902,0.1,0.25,"Extended",150,1000
"108",6.3092601822255,0.1,0.25,"Minimal",150,1000
"109",5.68248058848264,0.1,0.5,"Extended",150,1000
"110",5.77444641593106,0.1,0.5,"Minimal",150,1000
"111",7.04472247648133,0.1,0.25,"Extended",150,1000
"112",7.32013629384734,0.1,0.25,"Minimal",150,1000
"113",7.66547262683233,0.1,0.5,"Extended",150,1000
"114",6.90565756002847,0.1,0.5,"Minimal",150,1000
"115",5.34795666629039,0.1,0.25,"Extended",150,1000
"116",5.63222219242269,0.1,0.25,"Minimal",150,1000
"117",6.61599980236596,0.1,0.5,"Extended",150,1000
"118",6.76702799631366,0.1,0.5,"Minimal",150,1000
"119",6.76816776305663,0.1,0.25,"Extended",150,1000
"120",6.73806096471014,0.1,0.25,"Minimal",150,1000
